date,sst_c
2020-02-20 00:00:00+00:00,8.3284
2020-02-21 00:00:00+00:00,8.3505
2020-02-22 00:00:00+00:00,8.3251
2020-02-23 00:00:00+00:00,8.3198
2020-02-24 00:00:00+00:00,8.3198
2020-02-25 00:00:00+00:00,8.4383
2020-02-26 00:00:00+00:00,8.3260
2020-02-27 00:00:00+00:00,8.3032
2020-02-28 00:00:00+00:00,8.2778
2020-02-29 00:00:00+00:00,8.2611
2020-03-01 00:00:00+00:00,8.2146
2020-03-02 00:00:00+00:00,8.1397
2020-03-03 00:00:00+00:00,8.0106
2020-03-04 00:00:00+00:00,8.0108
2020-03-05 00:00:00+00:00,7.9972
2020-03-06 00:00:00+00:00,7.8899
2020-03-07 00:00:00+00:00,7.9582
2020-03-08 00:00:00+00:00,8.0735
