Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total precipitation amount for Wales
Areal series, starting in 1836
Last updated 03-Aug-2026 09:28
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1979  128.0   71.2  177.1   87.1  154.3   34.2   37.2  140.0   85.0  126.1  178.3  276.1   416.0   418.6   211.5   389.4  1494.8
1980  117.4  156.5  154.0   17.4   41.7  138.6   76.7  128.1  105.6  191.2  168.5  165.3   550.0   213.0   343.4   465.3  1461.0
1981   93.0   91.2  287.5   53.5  121.4   70.4   58.4   40.6  236.4  234.0  127.7  124.4   349.4   462.4   169.4   598.1  1538.5
1982  145.5  100.2  170.2   37.6   46.9  133.7   45.1  130.0  151.4  168.4  226.3  194.3   370.0   254.7   308.8   546.1  1549.6
1983  214.5   55.1  110.2  116.3  144.5   60.1   31.1   79.4  183.5  162.3   72.6  179.9   463.9   371.1   170.6   418.4  1409.6
1984  227.4   96.2   51.1   12.3   53.5   46.5   32.6   79.0  178.0  187.5  221.2  148.4   503.5   116.8   158.0   586.7  1333.6
1985   93.4   53.4  102.3  118.8   75.8  145.3  104.4  213.3   66.2  100.6  120.0  214.9   295.2   296.8   463.0   286.9  1408.4
1986  196.4    7.5  134.5  112.0  123.9   58.9   91.1  161.1   18.2  153.4  239.6  272.1   418.8   370.4   311.2   411.3  1568.8
1987   41.3  108.9  147.0   89.1   49.9  129.3   78.8   69.9  110.6  259.5  132.5  145.6   422.2   286.1   278.1   502.6  1362.5
1988  250.5  102.9  178.1   59.2  103.4   45.9  180.7  155.7  121.0  131.1   72.4   79.8   499.1   340.7   382.2   324.5  1480.8
1989   94.8  163.9  177.2  103.0   25.9   72.5   48.2   94.8   63.3  187.2  112.6  205.4   338.5   306.0   215.6   363.1  1348.8
1990  255.3  229.0   40.0   52.3   36.7  104.8   57.7   70.3   89.9  162.7  118.3  173.7   689.7   129.0   232.8   370.9  1390.7
1991  157.2  101.2  131.4  134.7   15.8  118.2  102.8   59.9   88.1  161.0  151.0   75.8   432.1   281.9   280.9   400.0  1297.0
1992   77.2   86.8  139.6  102.4   73.9   55.4   97.6  231.1  120.2  108.3  225.2  152.1   239.9   315.9   384.1   453.7  1469.9
1993  204.7   25.4   35.8  116.6  139.9   99.4  119.0   79.8  120.3   77.6  113.3  296.6   382.2   292.2   298.2   311.2  1428.3
1994  195.4  134.4  198.9  125.6   67.1   62.6   68.1   96.5  135.9  142.8  136.1  270.9   626.5   391.5   227.3   414.8  1634.4
1995  250.9  192.1   93.8   38.5   77.6   29.0   76.9   14.3  125.1  115.4  131.3  104.0   713.9   209.9   120.3   371.8  1249.0
1996  101.7  132.7   72.4   90.1  112.5   48.2   49.9  106.5   61.8  189.1  176.5   55.6   338.3   275.0   204.6   427.4  1196.9
1997   12.0  224.8   53.8   38.1  115.6  147.2   57.4  139.8   72.1   97.0  196.8  159.9   292.3   207.5   344.5   365.9  1314.5
