period,start_date,end_date,end_year,mean_temperature_c,days,status,rank_warmest,smoothed_trend_c,reference_mean_c,lowest_published_c,highest_published_c,latest_c,latest_status,july_2026_value_c,source_last_updated
2002-08 to 2003-07,2002-08-01,2003-07-31,2003,9.690685,365,published-inputs,16,9.410319,9.418356,7.003005,10.315068,10.626849,illustrative scenario,18.000000,01-Jul-2026 11:33
2003-08 to 2004-07,2003-08-01,2004-07-31,2004,9.453552,366,published-inputs,27,9.426790,9.418356,7.003005,10.315068,10.626849,illustrative scenario,18.000000,01-Jul-2026 11:33
2004-08 to 2005-07,2004-08-01,2005-07-31,2005,9.794795,365,published-inputs,11,9.440850,9.418356,7.003005,10.315068,10.626849,illustrative scenario,18.000000,01-Jul-2026 11:33
2005-08 to 2006-07,2005-08-01,2006-07-31,2006,9.597534,365,published-inputs,21,9.453175,9.418356,7.003005,10.315068,10.626849,illustrative scenario,18.000000,01-Jul-2026 11:33
2006-08 to 2007-07,2006-08-01,2007-07-31,2007,10.315068,365,published-inputs,2,9.464562,9.418356,7.003005,10.315068,10.626849,illustrative scenario,18.000000,01-Jul-2026 11:33
2007-08 to 2008-07,2007-08-01,2008-07-31,2008,9.593716,366,published-inputs,22,9.475872,9.418356,7.003005,10.315068,10.626849,illustrative scenario,18.000000,01-Jul-2026 11:33
2008-08 to 2009-07,2008-08-01,2009-07-31,2009,9.017260,365,published-inputs,47,9.487966,9.418356,7.003005,10.315068,10.626849,illustrative scenario,18.000000,01-Jul-2026 11:33
2009-08 to 2010-07,2009-08-01,2010-07-31,2010,8.864110,365,published-inputs,58,9.501634,9.418356,7.003005,10.315068,10.626849,illustrative scenario,18.000000,01-Jul-2026 11:33
2010-08 to 2011-07,2010-08-01,2011-07-31,2011,8.730411,365,published-inputs,72,9.517532,9.418356,7.003005,10.315068,10.626849,illustrative scenario,18.000000,01-Jul-2026 11:33
2011-08 to 2012-07,2011-08-01,2012-07-31,2012,9.704645,366,published-inputs,15,9.536137,9.418356,7.003005,10.315068,10.626849,illustrative scenario,18.000000,01-Jul-2026 11:33
2012-08 to 2013-07,2012-08-01,2013-07-31,2013,8.519726,365,published-inputs,94,9.557711,9.418356,7.003005,10.315068,10.626849,illustrative scenario,18.000000,01-Jul-2026 11:33
2013-08 to 2014-07,2013-08-01,2014-07-31,2014,10.107397,365,published-inputs,7,9.582300,9.418356,7.003005,10.315068,10.626849,illustrative scenario,18.000000,01-Jul-2026 11:33
2014-08 to 2015-07,2014-08-01,2015-07-31,2015,9.314247,365,published-inputs,35,9.609745,9.418356,7.003005,10.315068,10.626849,illustrative scenario,18.000000,01-Jul-2026 11:33
2015-08 to 2016-07,2015-08-01,2016-07-31,2016,9.830055,366,published-inputs,10,9.639718,9.418356,7.003005,10.315068,10.626849,illustrative scenario,18.000000,01-Jul-2026 11:33
2016-08 to 2017-07,2016-08-01,2017-07-31,2017,10.020000,365,published-inputs,8,9.671769,9.418356,7.003005,10.315068,10.626849,illustrative scenario,18.000000,01-Jul-2026 11:33
2017-08 to 2018-07,2017-08-01,2018-07-31,2018,9.592603,365,published-inputs,23,9.705371,9.418356,7.003005,10.315068,10.626849,illustrative scenario,18.000000,01-Jul-2026 11:33
2018-08 to 2019-07,2018-08-01,2019-07-31,2019,9.794795,365,published-inputs,11,9.739972,9.418356,7.003005,10.315068,10.626849,illustrative scenario,18.000000,01-Jul-2026 11:33
2019-08 to 2020-07,2019-08-01,2020-07-31,2020,9.785792,366,published-inputs,13,9.775037,9.418356,7.003005,10.315068,10.626849,illustrative scenario,18.000000,01-Jul-2026 11:33
2020-08 to 2021-07,2020-08-01,2021-07-31,2021,9.361644,365,published-inputs,33,9.810076,9.418356,7.003005,10.315068,10.626849,illustrative scenario,18.000000,01-Jul-2026 11:33
2021-08 to 2022-07,2021-08-01,2022-07-31,2022,10.273699,365,published-inputs,4,9.844669,9.418356,7.003005,10.315068,10.626849,illustrative scenario,18.000000,01-Jul-2026 11:33
2022-08 to 2023-07,2022-08-01,2023-07-31,2023,10.221096,365,published-inputs,5,9.878473,9.418356,7.003005,10.315068,10.626849,illustrative scenario,18.000000,01-Jul-2026 11:33
2023-08 to 2024-07,2023-08-01,2024-07-31,2024,10.293443,366,published-inputs,3,9.911221,9.418356,7.003005,10.315068,10.626849,illustrative scenario,18.000000,01-Jul-2026 11:33
2024-08 to 2025-07,2024-08-01,2025-07-31,2025,10.206301,365,published-inputs,6,9.942725,9.418356,7.003005,10.315068,10.626849,illustrative scenario,18.000000,01-Jul-2026 11:33
