year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,win,spr,sum,aut,ann
1942,164.300000,34.600000,98.300000,69.400000,152.700000,13.600000,115.800000,134.300000,116.000000,134.800000,30.400000,194.800000,308.200000,320.400000,263.600000,281.200000,1258.900000
1943,223.000000,101.900000,40.500000,52.600000,127.600000,112.200000,91.200000,136.900000,153.100000,148.300000,112.300000,74.900000,519.700000,220.700000,340.300000,413.700000,1374.500000
1944,160.500000,55.100000,21.900000,68.700000,62.200000,82.400000,88.500000,91.600000,142.200000,193.100000,230.900000,130.900000,290.600000,152.800000,262.600000,566.200000,1328.100000
1945,111.600000,163.400000,63.100000,72.600000,106.700000,127.500000,90.700000,88.700000,100.200000,141.300000,21.900000,171.600000,405.900000,242.400000,306.800000,263.500000,1259.400000
1946,186.100000,159.800000,50.000000,43.200000,84.500000,129.600000,80.400000,191.100000,196.000000,49.500000,235.400000,158.900000,517.500000,177.600000,401.100000,481.000000,1564.500000
1947,137.600000,55.300000,245.800000,124.000000,90.100000,76.300000,98.200000,19.100000,81.300000,31.800000,162.500000,125.600000,351.800000,459.900000,193.600000,275.600000,1247.700000
1948,297.400000,91.100000,77.000000,73.700000,75.400000,139.400000,81.100000,157.800000,130.900000,117.500000,100.400000,214.300000,514.100000,226.100000,378.200000,348.900000,1556.100000
1949,81.100000,68.100000,69.700000,123.600000,102.600000,22.800000,51.800000,83.400000,58.400000,224.900000,172.600000,174.700000,363.500000,295.900000,158.000000,455.900000,1233.700000
1950,56.400000,225.700000,81.900000,115.100000,46.100000,65.500000,125.900000,216.700000,245.500000,102.700000,176.600000,109.300000,456.900000,243.000000,408.100000,524.700000,1567.300000
1951,151.300000,142.700000,165.400000,106.700000,80.000000,38.600000,53.800000,177.300000,141.600000,41.500000,251.600000,190.700000,403.200000,352.100000,269.700000,434.700000,1541.100000
1952,161.400000,46.900000,88.400000,88.800000,98.200000,90.700000,56.500000,149.000000,106.600000,164.100000,110.000000,135.300000,399.000000,275.300000,296.200000,380.700000,1295.900000
1953,53.400000,81.600000,83.800000,104.600000,80.100000,64.300000,150.300000,126.100000,146.900000,91.800000,149.400000,53.400000,270.300000,268.400000,340.700000,388.200000,1185.700000
1954,110.600000,135.200000,120.700000,36.600000,98.000000,134.600000,135.000000,149.300000,157.100000,259.500000,277.500000,152.100000,299.100000,255.300000,418.900000,694.100000,1766.100000
1955,110.800000,75.300000,86.000000,85.400000,139.100000,150.800000,28.400000,39.200000,75.700000,91.200000,95.000000,175.500000,338.200000,310.500000,218.400000,261.900000,1152.500000
1956,160.300000,21.100000,63.000000,46.900000,39.800000,77.400000,136.600000,195.100000,142.500000,81.900000,60.900000,160.800000,356.900000,149.700000,409.200000,285.300000,1186.400000
1957,161.400000,133.700000,137.700000,13.300000,69.800000,53.700000,168.200000,159.700000,229.500000,149.600000,80.100000,119.000000,455.900000,220.800000,381.600000,459.200000,1475.700000
1958,133.100000,198.800000,38.800000,38.100000,119.600000,116.400000,139.200000,124.300000,230.700000,138.900000,87.700000,124.900000,450.900000,196.500000,380.000000,457.300000,1490.500000
